"ID DEPATAMENTO","DEPARTAMENTO","ID MUNICIPIO","MUNICIPIO","ID LOCALIDAD","LOCALIDAD","AÑO SERVICIO","MES SERVICIO","ENERGÍA ACTIVA","ENERGÍA REACTIVA","POTENCIA MÁXIMA","DÍA DE DEMANDA MÁXIMA","FECHA DE DEMANDA MÁXIMA","PROMEDIO DIARIO EN HORAS"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","10","4,933","700","32.1","miércoles","2022 Oct 12 08:45:00 PM","6.46"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGAEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","09","4,104","614","42.72","sábado","2022 Sep 10 01:30:00 AM","6.11"
"5","ANTIOQUIA","5873","VIGÍA DEL FUERTE","5873002","VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA)","2022","08","4,157","577","41.79","sábado","2022 Aug 13 08:45:00 PM","5.47"
"27","CHOCO","27006","ACANDÍ","27006000","ACANDÍ (ACANDÍ - CHOCO)","2022","08","577,208","204,438","1,158.26","martes","2022 Aug 09 10:15:00 PM","21.9"
"27","CHOCO","27800","UNGUÍA","27800001","BALBOA (UNGUÍA - CHOCO)","2022","08","23,630","9,759","87.46","sábado","2022 Aug 06 09:15:00 PM","11.16"
"27","CHOCO","27099","BOJAYÁ","27099000","BELLAVISTA (BOJAYÁ - CHOCO)","2022","08","103,597","30,028","239.04","lunes","2022 Aug 29 07:45:00 PM","17.61"
"27","CHOCO","27425","MEDIO ATRATO","27425000","BETÉ (MEDIO ATRATO - CHOCO)","2022","08","10,496","5,591","60","viernes","2022 Aug 05 11:30:00 AM","8.78"
"27","CHOCO","27077","BAJO BAUDÓ","27077905","BUENAVISTA (BAJO BAUDÓ - CHOCO)","2022","08","293","31","32.77","martes","2022 Aug 16 07:45:00 PM","0.35"
"27","CHOCO","27025","ALTO BAUDÓ","27025000","CIUDAD BAUDÓ - PIE DE PATO (ALTO BAUDÓ - CHOCO)","2022","08","47,341","15,989","114.05","miércoles","2022 Aug 31 12:00:00 PM","23.93"
"27","CHOCO","27495","NUQUÍ","27495912","COMUNIDAD INDÍGENA DE PANGUÍ - (EL YUCAL) (NUQUÍ - CHOCO)","2022","08","6,875","1,664","11.38","lunes","2022 Aug 15 07:15:00 AM","23.54"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250002","CUCURRUPÍ (EL LITORAL DEL SAN JUAN - CHOCO)","2022","08","3,083","910","19.97","martes","2022 Aug 30 06:15:00 PM","6.01"
"27","CHOCO","27075","BAHÍA SOLANO","27075001","CUPICA (BAHÍA SOLANO - CHOCO)","2022","08","72,057","23,451","160.62","lunes","2022 Aug 01 07:15:00 PM","23.77"
"27","CHOCO","27075","BAHÍA SOLANO","27075002","EL VALLE (BAHÍA SOLANO - CHOCO)","2022","08","164,591","68,613","355.61","lunes","2022 Aug 29 07:15:00 PM","23.43"
"27","CHOCO","27372","JURADO","27372000","JURADO (JURADO - CHOCO)","2022","08","174,846","72,121","320","martes","2022 Aug 16 07:15:00 PM","23.98"
"27","CHOCO","27099","BOJAYÁ","27099002","LA LOMA DE BOJAYÁ (BOJAYÁ - CHOCO)","2022","08","11,880","6,166","64","sábado","2022 Aug 06 06:00:00 PM","8.94"
"27","CHOCO","27099","BOJAYÁ","27099005","NAPIPÍ (BOJAYÁ - CHOCO)","2022","08","9,976","2,595","60.8","lunes","2022 Aug 01 08:30:00 PM","6.34"
"27","CHOCO","27495","NUQUÍ","27495000","NUQUÍ (NUQUÍ - CHOCO)","2022","08","262,239","102,089","492.8","sábado","2022 Aug 13 07:45:00 PM","24"
"27","CHOCO","27077","BAJO BAUDÓ","27077000","PIZARRO (BAJO BAUDÓ - CHOCO)","2022","08","209,953","96,819","459.89","viernes","2022 Aug 12 08:00:00 PM","21.7"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250000","SANTA GENOVEVA DE DOCORDÓ (EL LITORAL DEL SAN JUAN - CHOCO)","2022","08","75,908","42,612","188.63","viernes","2022 Aug 05 01:15:00 PM","23.96"
"27","CHOCO","27001","QUIBDÓ","27001029","TAGACHI (QUIBDÓ - CHOCO)","2022","08","5,989","2,016","55.44","sábado","2022 Aug 20 07:45:00 PM","4.66"
"27","CHOCO","27800","UNGUÍA","27800005","TITUMATE (UNGUÍA - CHOCO)","2022","08","17,509","4,350","98.21","viernes","2022 Aug 19 07:30:00 PM","8.38"
"27","CHOCO","27250","EL LITORAL DEL SAN JUAN","27250914","TOGOROMA PLAYA (EL LITORAL DEL SAN JUAN - CHOCO)","2022","08","985","285","6.82","viernes","2022 Aug 26 07:00:00 PM","6.2"
"27","CHOCO","27800","UNGUÍA","27800000","UNGUÍA (UNGUÍA - CHOCO)","2022","08","420,806","143,998","912.91","lunes","2022 Aug 08 08:45:00 PM","22.23"
